"Step","d4rl_maze2d-medium-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return","d4rl_maze2d-medium-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MIN","d4rl_maze2d-medium-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MAX","d4rl_maze2d-large-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return","d4rl_maze2d-large-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MIN","d4rl_maze2d-large-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MAX","d4rl_maze2d-medium-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return","d4rl_maze2d-medium-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MIN","d4rl_maze2d-medium-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MAX","d4rl_maze2d-medium-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return","d4rl_maze2d-medium-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MIN","d4rl_maze2d-medium-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MAX","d4rl_maze2d-medium-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return","d4rl_maze2d-medium-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MIN","d4rl_maze2d-medium-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MAX","d4rl_maze2d-large-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return","d4rl_maze2d-large-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MIN","d4rl_maze2d-large-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MAX","d4rl_maze2d-umaze-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return","d4rl_maze2d-umaze-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MIN","d4rl_maze2d-umaze-v1/inner_prod(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MAX","d4rl_maze2d-umaze-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return","d4rl_maze2d-umaze-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MIN","d4rl_maze2d-umaze-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MAX","d4rl_maze2d-large-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return","d4rl_maze2d-large-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MIN","d4rl_maze2d-large-v1/l2(dim=2048)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MAX","d4rl_maze2d-umaze-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return","d4rl_maze2d-umaze-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MIN","d4rl_maze2d-umaze-v1/mlp(dim=2048,hidden_sizes=[1024])_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MAX","d4rl_maze2d-umaze-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return","d4rl_maze2d-umaze-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MIN","d4rl_maze2d-umaze-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MAX","d4rl_maze2d-large-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return","d4rl_maze2d-large-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MIN","d4rl_maze2d-large-v1/iqe(dim=2048,components=64)_dyn=1_2critic_actor(goal=Rand,BC=0.05)_seed=60912 - evaluation/average_return__MAX"
"0","0.058","0.058","0.058","0.041","0.041","0.041","0.05","0.05","0.05","0.06","0.06","0.06","0.063","0.063","0.063","0.035","0.035","0.035","0.156","0.156","0.156","0.153","0.153","0.153","0.04","0.04","0.04","0.183","0.183","0.183","0.147","0.147","0.147","0.043","0.043","0.043"
"51","","","","0.02","0.02","0.02","","","","","","","","","","0.262","0.262","0.262","","","","","","","0.564","0.564","0.564","","","","","","","0.537","0.537","0.537"
"102","0.683","0.683","0.683","0.288","0.288","0.288","1","1","1","0.719","0.719","0.719","0.542","0.542","0.542","0.327","0.327","0.327","","","","","","","0.696","0.696","0.696","","","","","","","0.491","0.491","0.491"
"153","","","","0.507","0.507","0.507","","","","","","","","","","0.104","0.104","0.104","","","","","","","0.52","0.52","0.52","","","","","","","0.401","0.401","0.401"
"204","0.139","0.139","0.139","0.644","0.644","0.644","0.999","0.999","0.999","0.547","0.547","0.547","0.61","0.61","0.61","0.07","0.07","0.07","0.895","0.895","0.895","0.739","0.739","0.739","0.493","0.493","0.493","0.397","0.397","0.397","0.999","0.999","0.999","0.932","0.932","0.932"
"205","","","","0.512","0.512","0.512","","","","","","","","","","0.253","0.253","0.253","","","","","","","0.533","0.533","0.533","","","","","","","0.709","0.709","0.709"
"307","1","1","1","","","","0.996","0.996","0.996","0.272","0.272","0.272","0.649","0.649","0.649","","","","","","","","","","","","","","","","","","","","",""
"409","0.85","0.85","0.85","","","","0.85","0.85","0.85","0.722","0.722","0.722","0.866","0.866","0.866","","","","1","1","1","0.846","0.846","0.846","","","","0.999","0.999","0.999","0.601","0.601","0.601","","",""
"410","0.966","0.966","0.966","","","","0.767","0.767","0.767","0.641","0.641","0.641","0.92","0.92","0.92","","","","","","","","","","","","","","","","","","","","",""
"614","","","","","","","","","","","","","","","","","","","1","1","1","0.524","0.524","0.524","","","","0.15","0.15","0.15","0.997","0.997","0.997","","",""
"819","","","","","","","","","","","","","","","","","","","1","1","1","0.328","0.328","0.328","","","","0.539","0.539","0.539","0.864","0.864","0.864","","",""
"820","","","","","","","","","","","","","","","","","","","1","1","1","0.533","0.533","0.533","","","","0.508","0.508","0.508","0.83","0.83","0.83","","",""
